Site,Shrub.Sampled.Area,Tree.Sampled.Area,Total.Sampled.Area,Shrub.Leaf.Area,Tree.Leaf.Area,Total.Leaf.Area,Shrub.LAI,Tree.LAI,Total.LAI
Davy,0,10,10,0,1900452.087,1900452.087,#DIV/0!,190045.2087,190045.2087
HBR,20,40,60,1662.311327,6999877.068,7001539.379,83.11556637,174996.9267,116692.323
HDF1,5,60,65,8198.126102,9193685.626,9201883.752,1639.62522,153228.0938,141567.4423
HDF2,5,60,65,7387.816416,6415667.717,6423055.534,1477.563283,106927.7953,98816.23898
HDR,0,40,40,0,5765279.35,5765279.35,#DIV/0!,144131.9837,144131.9837
HDS1,10,60,70,2413.766045,11732546,11734959.76,241.3766045,195542.4333,167642.2824
HDS2,10,60,70,11020.11547,10079739.99,10090760.1,1102.011547,167995.6665,144153.7158
HDS4,5,60,65,1624.29296,8984687.315,8986311.608,324.858592,149744.7886,138250.9478
HDS5,5,30,35,1909.318297,3730603.293,3732512.611,381.8636595,124353.4431,106643.2175
HDS6,5,60,65,1778.588652,11085702.33,11087480.92,355.7177303,184761.7056,170576.6296
HDS7,5,30,35,457.547609,4899848.583,4900306.131,91.50952181,163328.2861,140008.7466
HDS8,5,30,35,693.2278594,5686677.322,5687370.55,138.6455719,189555.9107,162496.3014
LBR,10,80,90,7435.019665,588367.8675,595802.8872,743.5019665,7354.598344,6620.03208
LDF1,2,120,122,14814.16566,1057108.91,1071923.075,7407.08283,8809.240914,8786.254716
LDF2,2,120,122,16981.50502,1271110.501,1288092.006,8490.752509,10592.58751,10558.1312
LDF3,2.5,120,122.5,21516.35829,763968.8541,785485.2124,8606.543316,6366.407118,6412.124183
LDR,0,80,80,0,640909.1261,640909.1261,#DIV/0!,8011.364076,8011.364076
LDS1,5,240,245,12142.102,10862389.51,10874531.61,2428.4204,45259.95629,44385.84331
LDS2,5,240,245,20583.82913,7033885.903,7054469.732,4116.765827,29307.85793,28793.75401
LDS3,5,240,245,8775.621995,4935812.358,4944587.98,1755.124399,20565.88483,20181.99176
MDF1,5,120,125,13656.37458,5918654.524,5932310.899,2731.274917,49322.12104,47458.48719
MDF2,5,120,125,53549.55239,4653978.712,4707528.265,10709.91048,38783.15593,37660.22612
MDF3,5,120,125,10788.58087,8894217.383,8905005.964,2157.716173,74118.4782,71240.04771
MDF4,5,120,125,13760.14781,6037016.555,6050776.702,2752.029561,50308.47129,48406.21362
MDS1,5,60,65,10582.83624,6573105.289,6583688.125,2116.567247,109551.7548,101287.5096
MDS2,5,120,125,3559.084752,9545151.756,9548710.84,711.8169504,79542.9313,76389.68672
S23,5,0,5,5473.384451,0,5473.384451,1094.67689,#DIV/0!,1094.67689
