Site,Plot,Area Sampled (m2),Species,BD_cm,,,,,,,,,,
HBR,1,20,Salix,0.41,,,,,,,,,,
HBR,1,20,Salix,0.41,,,,,,,,,,
HBR,1,20,Salix,0.21,,,,,,,,,,
HBR,1,20,Salix,0.15,,,,,,,,,,
HBR,1,20,Betula,0.35,,,,,,,,,,
HBR,1,20,Betula,0.51,,,,,,,,,,
HBR,1,20,Betula,0.25,,,,,,,,,,
HBR,1,20,Betula,0.52,,,,,,,,,,
HBR,1,20,Betula,0.66,,,,,,,,,,
HBR,1,20,Betula,0.1,,,,,,,,,,
HBR,1,20,Betula,0.28,,,,,,,,,,
HBR,1,20,Betula,0.38,,,,,,,,,,
HBR,1,20,Betula,0.37,,,,,,,,,,
HBR,1,20,Betula,1.2,,,,,,,,,,
HBR,1,20,Salix,0.03,,,,,,,,,,
HBR,1,20,Salix,0.12,,,,,,,,,,
HBR,1,20,Betula,0.19,,,,,,,,,,
HBR,1,20,Betula,0.35,,,,,,,,,,
HBR,1,20,Betula,0.39,,,,,,,,,,
HBR,1,20,Betula,1.13,,,,,,,,,,
HBR,1,20,Betula,0.01,,,,,,,,,,
HBR,1,20,Salix,0.35,,,,,,,,,,
HBR,1,20,Betula,0.32,,,,,,,,,,
HBR,1,20,Betula,0.19,,,,,,,,,,
HBR,1,20,Betula,0.55,,,,,,,,,,
HBR,1,20,Betula,0.58,,,,,,,,,,
HBR,1,20,Betula,0.14,,,,,,,,,,
HBR,1,20,Betula,0.11,,,,,,,,,,
HBR,1,20,Betula,0.08,,,,,,,,,,
HBR,1,20,Betula,0.34,,,,,,,,,,
HBR,1,20,Betula,0.62,,,,,,,,,,
HBR,1,20,Betula,0.25,,,,,,,,,,
HBR,1,20,Betula,0.19,,,,,,,,,,
HBR,1,20,Betula,0.29,,,,,,,,,,
HBR,1,20,Betula,0.2,,,,,,,,,,
HBR,1,20,Betula,0.09,,,,,,,,,,
HBR,1,20,Betula,0.12,,,,,,,,,,
HBR,1,20,Betula,0.61,,,,,,,,,,
HBR,1,20,Betula,1.25,,,,,,,,,,
