Site,Light,Species,Image File,Rep,Mass,Total # of Leaves,Total Leaf Area ,big leaves ,petioles,,SLA (cm2/g),,SLA (m2/g)
German,NA,alnus,ger_alnus1_001,1,2.591,14,296.788,,,,114.5457352,,0.011454574
German,NA,alnus,ger_alnus2_002,2,2.171,18,243.537,,,,,,
German,NA,alnus,ger_alnus3_003,3,1.818,24,216.552,,,,,,
German,NA,alnus,ger_alnus4_004,4,1.327,19,175.15,,,,,,
German,NA,alnus,ger_alnus5_005,5,1.947,16,242.984,,,,,,
German,NA,alnus,ger_alnus6_006,6,1.474,14,174.375,,,,,,
German,NA,alnus,ger_alnus7_007,7,1.794,20,224.145,,,,,,
German,NA,alnus,ger_alnus8_008,8,2.825,15,282.736,,,,,,
German,NA,salix,ger_salix1_001,1,1.891,18,215.778,,,,,,
German,NA,salix,ger_salix2_002,2,1.415,21,159.053,,,,,,
German,NA,salix,ger_salix3_003,3,0.957,23,123.282,,,,,,
German,NA,salix,ger_salix4_004,4,1.273,29,172.588,,,,,,
German,NA,salix,ger_salix5_005,5,1.213,27,138.693,15,12,,,,
German,NA,salix,ger_salix6_006,6,1.787,25,184.756,,,,,,
German,NA,salix,ger_salix7_007,7,0.995,25,134.101,,,,,,
German,NA,salix,ger_salix8_008,8,1.696,28,162.726,,,,,,
High Density,Shade,betula,HD_shade_betula_001,1,0.103,22,20.264,,,,,,
High Density,Shade,betula,HD_shade_betula_002,2,0.123,24,27.928,,,,,,
High Density,Shade,betula,HD_shade_betula_003,3,0.217,24,41.146,,,,,,
High Density,Shade,betula,HD_shade_betula_004,4,0.092,23,16.478,,,,,,
High Density,Shade,betula,HD_shade_betula_005,5,0.226,20,45.629,,,,,,
High Density,Shade,betula,HD_shade_betula_006,6,0.222,22,37.62,,,,,,
High Density,Sun,betula,HD_sun_betula_001,1,0.496,24,68.935,,,,,,
High Density,Sun,betula,HD_sun_betula_002,2,0.339,21,44.945,,,,,,
High Density,Sun,betula,HD_sun_betula_003,3,0.389,23,56.903,,,,,,
High Density,Sun,betula,HD_sun_betula_004,4,0.468,25,62.989,,,,,,
High Density,Sun,betula,HD_sun_betula_005,5,0.296,21,45.433,,,,,,
High Density,Sun,betula,HD_sun_betula_006,6,0.37,20,51.625,,,,,,
High Density,Shade,larix,HD_shade_larix_001,1,0.028,44,3.375,,,,,,
High Density,Shade,larix,HD_shade_larix_002,2,0.016,41,2.29,,,,,,
High Density,Shade,larix,HD_shade_larix_003,3,0.029,38,4.18,,,,,,
High Density,Shade,larix,HD_shade_larix_004,4,0.026,60,2.885,,,,,,
High Density,Shade,larix,HD_shade_larix_005,5,0.039,45,4.323,,,,,,
High Density,Shade,larix,HD_shade_larix_006,6,0.028,50,3.093,,,,,,
High Density,Shade,larix,HD_shade_larix_007,7,0.023,50,2.913,,,,,,
High Density,Shade,larix,HD_shade_larix_008,8,0.039,57,4.245,,,,,,
