"","Site","Sampled.Area","Leaf.Area","LAI"
"2","Davy",10,1900452.08727606,190045.208727606
"3","HBR",40,6999877.06761672,174996.926690418
"4","HDF1",60,9193685.62596287,153228.093766048
"5","HDF2",60,6415667.71729333,106927.795288222
"6","HDR",40,5765279.34963021,144131.983740755
"7","HDS1",60,11732545.9985787,195542.433309645
"8","HDS2",60,10079739.9877655,167995.666462759
"9","HDS4",60,8984687.31490048,149744.788581675
"10","HDS5",30,3730603.29278148,124353.443092716
"11","HDS6",60,11085702.3333718,184761.705556197
"12","HDS7",30,4899848.58311759,163328.28610392
"13","HDS8",30,5686677.32167396,189555.910722465
"14","LBR",80,588367.867512143,7354.59834390179
"15","LDF1",120,1057108.90968692,8809.24091405768
"16","LDF2",120,1271110.50133436,10592.5875111197
"17","LDF3",120,763968.854145505,6366.40711787921
"18","LDR",80,640909.126102904,8011.3640762863
"19","LDS1",240,10862389.5099937,45259.9562916403
"20","LDS2",240,7033885.90324692,29307.8579301955
"21","LDS3",240,4935812.35810996,20565.8848254582
"22","MDF1",120,5918654.52428702,49322.1210357252
"23","MDF2",120,4653978.71214768,38783.155934564
"24","MDF3",120,8894217.38343735,74118.4781953112
"25","MDF4",120,6037016.55451552,50308.4712876293
"26","MDS1",60,6573105.28888076,109551.754814679
"27","MDS2",120,9545151.75570294,79542.9312975245
