picture files  	th'hold	corrections    	Miller	LAI2000	°	Lang	G. & al	N.& C.	°      	Fmv	Frv	T. & al	°      	Fmv	Frv
DAV_1_20140721.JPG	128	-              	0.56	0.61	66	0.56	0.64	0.62	83	93.2%	-	0.61	83	92.8%	-
DAV_1_20140721.JPG	128	S. & al. (2007)	0.56	0.60	65	0.55	0.63	0.61	83	93.0%	-	0.61	82	92.0%	-
DAV_1_20140721.JPG	128	C. & C. (1995) 	0.68	0.73	69	0.67	0.76	0.74	83	93.2%	82.8%	0.74	81	92.8%	88.3%
DAV_1_20140721.JPG	128	S.& al.+ C.& C.	0.68	0.72	68	0.67	0.76	0.73	83	93.0%	82.3%	0.73	80	92.0%	86.7%
DAV_2_20140721.JPG	128	-              	0.58	0.62	66	0.57	0.66	0.64	84	93.3%	-	0.63	83	92.6%	-
DAV_2_20140721.JPG	128	S. & al. (2007)	0.58	0.62	66	0.57	0.65	0.63	84	93.1%	-	0.63	83	92.6%	-
DAV_2_20140721.JPG	128	C. & C. (1995) 	0.71	0.75	70	0.69	0.78	0.76	84	93.3%	83.5%	0.76	81	92.6%	88.1%
DAV_2_20140721.JPG	128	S.& al.+ C.& C.	0.70	0.74	69	0.69	0.78	0.75	83	93.1%	83.0%	0.76	81	92.6%	88.1%
DAV_3_20140721.JPG	128	-              	0.54	0.58	65	0.54	0.61	0.59	82	91.9%	-	0.59	81	91.4%	-
DAV_3_20140721.JPG	128	S. & al. (2007)	0.54	0.58	65	0.53	0.61	0.59	81	91.7%	-	0.58	80	90.7%	-
DAV_3_20140721.JPG	128	C. & C. (1995) 	0.66	0.70	67	0.65	0.73	0.71	81	91.9%	80.9%	0.71	79	91.4%	85.2%
DAV_3_20140721.JPG	128	S.& al.+ C.& C.	0.65	0.69	66	0.64	0.72	0.70	81	91.7%	80.5%	0.70	78	90.7%	83.7%
DAV_4_20140721.JPG	128	-              	0.57	0.62	65	0.57	0.65	0.63	82	91.8%	-	0.62	81	91.0%	-
DAV_4_20140721.JPG	128	S. & al. (2007)	0.57	0.61	65	0.56	0.64	0.62	82	91.6%	-	0.62	81	91.0%	-
DAV_4_20140721.JPG	128	C. & C. (1995) 	0.70	0.74	68	0.69	0.77	0.75	82	91.8%	81.1%	0.75	80	91.0%	82.0%
DAV_4_20140721.JPG	128	S.& al.+ C.& C.	0.69	0.73	68	0.68	0.76	0.74	81	91.6%	80.7%	0.74	79	91.0%	84.8%
HDF1_1_20140721.JPG	128	-              	1.00	1.03	54	1.00	0.83	1.04	60	62.2%	-	1.00	58	61.9%	-
HDF1_1_20140721.JPG	128	S. & al. (2007)	0.99	1.02	53	1.00	0.82	1.04	60	62.3%	-	1.00	58	62.1%	-
HDF1_1_20140721.JPG	128	C. & C. (1995) 	1.11	1.14	53	1.12	0.94	1.16	59	62.2%	29.2%	1.12	58	61.9%	26.5%
HDF1_1_20140721.JPG	128	S.& al.+ C.& C.	1.10	1.13	52	1.11	0.93	1.15	59	62.3%	29.4%	1.12	58	62.1%	26.6%
HDF1_2_20140721.JPG	128	-              	1.00	1.03	54	1.01	0.83	1.05	60	62.2%	-	1.01	58	61.9%	-
HDF1_2_20140721.JPG	128	S. & al. (2007)	0.99	1.02	54	1.00	0.82	1.04	60	62.3%	-	1.00	58	62.0%	-
HDF1_2_20140721.JPG	128	C. & C. (1995) 	1.11	1.14	53	1.12	0.94	1.16	59	62.2%	29.4%	1.13	58	61.9%	26.3%
HDF1_2_20140721.JPG	128	S.& al.+ C.& C.	1.11	1.13	52	1.12	0.93	1.15	59	62.3%	29.4%	1.12	58	62.0%	26.4%
HDF1_3_20140721.JPG	128	-              	0.97	0.99	52	0.98	0.79	1.01	58	62.1%	-	0.97	57	62.2%	-
HDF1_3_20140721.JPG	128	S. & al. (2007)	0.96	0.99	52	0.97	0.79	1.00	58	62.1%	-	0.96	57	62.3%	-
HDF1_3_20140721.JPG	128	C. & C. (1995) 	1.08	1.10	51	1.09	0.89	1.11	57	62.1%	28.8%	1.08	56	62.2%	30.2%
HDF1_3_20140721.JPG	128	S.& al.+ C.& C.	1.07	1.09	51	1.08	0.89	1.11	57	62.1%	28.9%	1.08	56	62.3%	30.3%
HDF1_4_20140721.JPG	128	-              	1.02	1.04	48	1.03	0.83	1.05	56	58.4%	-	1.01	55	59.3%	-
HDF1_4_20140721.JPG	128	S. & al. (2007)	1.01	1.03	48	1.02	0.83	1.05	55	58.5%	-	1.01	55	59.5%	-
HDF1_4_20140721.JPG	128	C. & C. (1995) 	1.13	1.15	48	1.15	0.94	1.17	55	58.4%	23.2%	1.13	55	59.3%	24.7%
HDF1_4_20140721.JPG	128	S.& al.+ C.& C.	1.13	1.15	47	1.14	0.94	1.16	55	58.5%	23.2%	1.13	55	59.5%	24.8%
HDF1_5_20140721.JPG	128	-              	1.01	1.03	48	1.03	0.83	1.05	55	58.5%	-	1.01	55	59.4%	-
HDF1_5_20140721.JPG	128	S. & al. (2007)	1.01	1.03	48	1.02	0.82	1.04	55	58.5%	-	1.00	55	59.6%	-
HDF1_5_20140721.JPG	128	C. & C. (1995) 	1.13	1.15	48	1.14	0.94	1.17	55	58.5%	23.0%	1.13	55	59.4%	24.8%
HDF1_5_20140721.JPG	128	S.& al.+ C.& C.	1.12	1.14	48	1.14	0.93	1.16	55	58.5%	23.0%	1.12	55	59.6%	24.9%
LDF2_1_20140721.JPG	128	-              	0.09	0.12	61	0.09	0.09	0.14	90	99.9%	-	0.11	90	100%	-
LDF2_1_20140721.JPG	128	S. & al. (2007)	0.09	0.12	61	0.09	0.09	0.14	90	99.9%	-	0.10	90	100%	-
LDF2_1_20140721.JPG	128	C. & C. (1995) 	0.13	0.17	62	0.13	0.13	0.20	90	99.9%	99.7%	0.22	90	100%	0.000%
LDF2_1_20140721.JPG	128	S.& al.+ C.& C.	0.13	0.17	62	0.13	0.13	0.19	90	99.9%	99.7%	0.21	90	100%	0.000%
LDF2_2_20140721.JPG	128	-              	0.10	0.13	61	0.10	0.10	0.15	90	99.8%	-	0.11	90	100%	-
LDF2_2_20140721.JPG	128	S. & al. (2007)	0.10	0.13	61	0.10	0.10	0.14	90	99.8%	-	0.11	90	100%	-
LDF2_2_20140721.JPG	128	C. & C. (1995) 	0.14	0.19	62	0.14	0.14	0.21	90	99.8%	99.7%	0.24	90	100%	0.000%
LDF2_2_20140721.JPG	128	S.& al.+ C.& C.	0.14	0.18	62	0.14	0.14	0.21	90	99.8%	99.7%	0.23	90	100%	0.000%
LDF2_3_20140721.JPG	128	-              	0.09	0.11	60	0.08	0.09	0.13	90	99.9%	-	0.10	90	100%	-
