"","Site","Plot","Density","Slope","Trees.Shrubs","Species","Leaf.Area","Area.Sampled","LAI"
"1","DavH","DavH.1","HIGH","FLAT","SHRUBS","BETULA",1.48745921455615,5,0.29749184291123
"2","DavH","DavH.2","HIGH","FLAT","SHRUBS","BETULA",1.06836360668207,5,0.213672721336415
"3","DavH","DavH.3","HIGH","FLAT","SHRUBS","BETULA",0.957707495878166,5,0.191541499175633
"4","HBR","HBR.1","HIGH","FLAT","SHRUBS","BETULA",1.14714237852409,20,0.0573571189262044
"5","HBR","HBR.2","HIGH","FLAT","SHRUBS","BETULA",1.62985663199294,20,0.0814928315996472
"6","HBR","HBR.3","HIGH","FLAT","SHRUBS","BETULA",0.375792764800401,20,0.01878963824002
"7","HDF1","HDF1.1","HIGH","FLAT","SHRUBS","BETULA",0.838655172368021,5,0.167731034473604
"8","HDF1","HDF1.2","HIGH","FLAT","SHRUBS","BETULA",0.884326208217791,5,0.176865241643558
"9","HDF1","HDF1.3","HIGH","FLAT","SHRUBS","BETULA",1.69241786153876,5,0.338483572307753
"10","HDF2","HDF2.1","HIGH","FLAT","SHRUBS","BETULA",1.02995042212308,5,0.205990084424616
"11","HDF2","HDF2.2","HIGH","FLAT","SHRUBS","BETULA",1.29520749060259,5,0.259041498120518
"12","HDF2","HDF2.3","HIGH","FLAT","SHRUBS","BETULA",1.12881422633987,5,0.225762845267973
"13","HDS1","HDS1.1","HIGH","SLOPED","SHRUBS","BETULA",0.331288960759404,10,0.0331288960759404
"14","HDS1","HDS1.2","HIGH","SLOPED","SHRUBS","BETULA",0.85625384358238,10,0.085625384358238
"15","HDS1","HDS1.3","HIGH","SLOPED","SHRUBS","BETULA",1.05517548689285,10,0.105517548689285
"16","HDS2","HDS2.1","HIGH","SLOPED","SHRUBS","BETULA",4.23002830554419,10,0.423002830554419
"17","HDS2","HDS2.2","HIGH","SLOPED","SHRUBS","BETULA",3.16745475478081,10,0.316745475478081
"18","HDS2","HDS2.3","HIGH","SLOPED","SHRUBS","BETULA",3.35161491523039,10,0.335161491523039
"19","HDS4","HDS4.1","HIGH","SLOPED","SHRUBS","BETULA",0.055875917118188,5,0.0111751834236376
"20","HDS4","HDS4.2","HIGH","SLOPED","SHRUBS","BETULA",0.107961800069295,5,0.021592360013859
"21","HDS4","HDS4.3","HIGH","SLOPED","SHRUBS","BETULA",0.254676516729125,5,0.0509353033458251
"22","HDS5","HDS5.1","HIGH","SLOPED","SHRUBS","BETULA",0.301375064743735,5,0.060275012948747
"23","HDS5","HDS5.2","HIGH","SLOPED","SHRUBS","BETULA",0.255481674953995,5,0.0510963349907989
"24","HDS5","HDS5.3","HIGH","SLOPED","SHRUBS","BETULA",0.371316296365078,5,0.0742632592730157
"25","HDS6","HDS6.1","HIGH","SLOPED","SHRUBS","BETULA",0.117325839658504,5,0.0234651679317008
"26","HDS6","HDS6.2","HIGH","SLOPED","SHRUBS","BETULA",0.134191927343409,5,0.0268383854686818
"27","HDS6","HDS6.3","HIGH","SLOPED","SHRUBS","BETULA",0.151427673800058,5,0.0302855347600116
"28","HDS7","HDS7.1","HIGH","SLOPED","SHRUBS","BETULA",0.0268427624489389,5,0.00536855248978778
"29","HDS7","HDS7.2","HIGH","SLOPED","SHRUBS","BETULA",0.081421110190367,5,0.0162842220380734
"30","HDS7","HDS7.3","HIGH","SLOPED","SHRUBS","BETULA",0.0330338932330663,5,0.00660677864661325
"31","HDS8","HDS8.2","HIGH","SLOPED","SHRUBS","BETULA",0.290362961901377,5,0.0580725923802754
"32","HDS8","HDS8.3","HIGH","SLOPED","SHRUBS","BETULA",0.0423287030214086,5,0.00846574060428172
"33","LBR","LBR.1","LOW","FLAT","SHRUBS","BETULA",2.25548095771717,10,0.225548095771717
"34","LBR","LBR.2","LOW","FLAT","SHRUBS","BETULA",1.86822708480712,10,0.186822708480712
"35","LBR","LBR.3","LOW","FLAT","SHRUBS","BETULA",2.39358540519239,10,0.239358540519239
"36","LDF1","LDF1.1","LOW","FLAT","SHRUBS","BETULA",2.30992328355911,5,0.461984656711821
"37","LDF1","LDF1.2","LOW","FLAT","SHRUBS","BETULA",1.35224081341697,5,0.270448162683394
"38","LDF1","LDF1.3","LOW","FLAT","SHRUBS","BETULA",2.08149502620925,5,0.41629900524185
"39","LDF2","LDF2.1","LOW","FLAT","SHRUBS","BETULA",3.66210407657058,5,0.732420815314117
"40","LDF2","LDF2.2","LOW","FLAT","SHRUBS","BETULA",2.39388388384752,5,0.478776776769503
"41","LDF2","LDF2.3","LOW","FLAT","SHRUBS","BETULA",1.86329406209991,5,0.372658812419983
"42","LDF3","LDF3.1","LOW","FLAT","SHRUBS","BETULA",2.05081765844901,2.5,0.820327063379604
"43","LDF3","LDF3.2","LOW","FLAT","SHRUBS","BETULA",0.922856402703597,2.5,0.369142561081439
"44","LDF3","LDF3.3","LOW","FLAT","SHRUBS","BETULA",2.05444193904678,2.5,0.821776775618714
"45","LDS1","LDS1.1","LOW","SLOPED","SHRUBS","BETULA",2.16683250828224,5,0.433366501656447
"46","LDS1","LDS1.2","LOW","SLOPED","SHRUBS","BETULA",2.90828406980897,5,0.581656813961795
"47","LDS1","LDS1.3","LOW","SLOPED","SHRUBS","BETULA",0.783443672695091,5,0.156688734539018
"48","LDS2","LDS2.1","LOW","SLOPED","SHRUBS","BETULA",4.0691934685263,5,0.813838693705261
"49","LDS2","LDS2.2","LOW","SLOPED","SHRUBS","BETULA",2.94683523948589,5,0.589367047897177
"50","LDS2","LDS2.3","LOW","SLOPED","SHRUBS","BETULA",2.98530604741114,5,0.597061209482227
"51","LDS3","LDS3.1","LOW","SLOPED","SHRUBS","BETULA",1.1627085994812,5,0.23254171989624
"52","LDS3","LDS3.2","LOW","SLOPED","SHRUBS","BETULA",1.75810602999239,5,0.351621205998477
"53","LDS3","LDS3.3","LOW","SLOPED","SHRUBS","BETULA",1.20780510980014,5,0.241561021960027
"54","MDF1","MDF1.1","MED","FLAT","SHRUBS","BETULA",2.81856937515932,5,0.563713875031864
"55","MDF1","MDF1.2","MED","FLAT","SHRUBS","BETULA",1.63724892849207,5,0.327449785698414
"56","MDF1","MDF1.3","MED","FLAT","SHRUBS","BETULA",1.56682650319678,5,0.313365300639355
"57","MDF2","MDF2.1","MED","FLAT","SHRUBS","BETULA",0.682207626010303,5,0.136441525202061
"58","MDF2","MDF2.2","MED","FLAT","SHRUBS","BETULA",2.41923892979874,5,0.483847785959748
"59","MDF2","MDF2.3","MED","FLAT","SHRUBS","BETULA",23.0966122001959,5,4.61932244003919
"60","MDF3","MDF3.1","MED","FLAT","SHRUBS","BETULA",2.03506590137749,5,0.407013180275498
"61","MDF3","MDF3.2","MED","FLAT","SHRUBS","BETULA",1.94241302396609,5,0.388482604793217
"62","MDF3","MDF3.3","MED","FLAT","SHRUBS","BETULA",1.4356788835304,5,0.287135776706081
"63","MDF4","MDF4.1","MED","FLAT","SHRUBS","BETULA",1.39397843147246,5,0.278795686294493
"64","MDF4","MDF4.2","MED","FLAT","SHRUBS","BETULA",2.81804697150979,5,0.563609394301957
"65","MDF4","MDF4.3","MED","FLAT","SHRUBS","BETULA",2.36789116001706,5,0.473578232003413
"66","MDS1","MDS1.1","MED","SLOPED","SHRUBS","BETULA",1.00274754894109,5,0.200549509788219
"67","MDS1","MDS1.2","MED","SLOPED","SHRUBS","BETULA",2.25231871525205,5,0.45046374305041
"68","MDS1","MDS1.3","MED","SLOPED","SHRUBS","BETULA",1.97482480051493,5,0.394964960102985
"69","MDS2","MDS2.1","MED","SLOPED","SHRUBS","BETULA",0.486070800262132,5,0.0972141600524264
"70","MDS2","MDS2.2","MED","SLOPED","SHRUBS","BETULA",1.29499444464468,5.85106382978723,0.221326323266546
"71","MDS2","MDS2.3","MED","SLOPED","SHRUBS","BETULA",0.457666773961268,10,0.0457666773961268
"72","DavH","DavH.1","HIGH","FLAT","SHRUBS","SALIX",0.0458252577910722,5,0.00916505155821444
"73","DavH","DavH.2","HIGH","FLAT","SHRUBS","SALIX",0.0472893795771971,5,0.00945787591543942
"74","HBR","HBR.1","HIGH","FLAT","SHRUBS","SALIX",0.020963950829158,20,0.0010481975414579
"75","HBR","HBR.3","HIGH","FLAT","SHRUBS","SALIX",0.1508669284563,20,0.00754334642281499
"76","HDF1","HDF1.1","HIGH","FLAT","SHRUBS","SALIX",0.462676981625048,5,0.0925353963250097
"77","HDF1","HDF1.2","HIGH","FLAT","SHRUBS","SALIX",0.20135917021779,5,0.040271834043558
"78","HDF1","HDF1.3","HIGH","FLAT","SHRUBS","SALIX",0.0196276572660924,5,0.00392553145321847
"79","HDF2","HDF2.1","HIGH","FLAT","SHRUBS","SALIX",0.18392918655406,5,0.0367858373108121
"80","HDF2","HDF2.2","HIGH","FLAT","SHRUBS","SALIX",0.0560068823210981,5,0.0112013764642196
"81","HDS1","HDS1.2","HIGH","SLOPED","SHRUBS","SALIX",0.128145239786363,10,0.0128145239786363
"82","HDS1","HDS1.3","HIGH","SLOPED","SHRUBS","SALIX",0.0429025141279066,10,0.00429025141279066
"83","HDS2","HDS2.1","HIGH","SLOPED","SHRUBS","SALIX",0.0371545492358939,10,0.00371545492358939
"84","HDS2","HDS2.2","HIGH","SLOPED","SHRUBS","SALIX",0.123794406853839,10,0.0123794406853839
"85","HDS2","HDS2.3","HIGH","SLOPED","SHRUBS","SALIX",0.11006853747119,10,0.011006853747119
"86","HDS4","HDS4.1","HIGH","SLOPED","SHRUBS","SALIX",0.377848565876606,5,0.0755697131753211
"87","HDS4","HDS4.2","HIGH","SLOPED","SHRUBS","SALIX",0.00220329727619834,5,0.000440659455239668
"88","HDS4","HDS4.3","HIGH","SLOPED","SHRUBS","SALIX",0.013580382976363,5,0.00271607659527261
"89","HDS5","HDS5.2","HIGH","SLOPED","SHRUBS","SALIX",0.010528138357769,5,0.0021056276715538
"90","HDS5","HDS5.3","HIGH","SLOPED","SHRUBS","SALIX",0.0159579743164091,5,0.00319159486328181
"91","HDS6","HDS6.1","HIGH","SLOPED","SHRUBS","SALIX",0.337738422387157,5,0.0675476844774314
"92","HDS6","HDS6.2","HIGH","SLOPED","SHRUBS","SALIX",0.148610462611395,5,0.0297220925222791
"93","HDS7","HDS7.1","HIGH","SLOPED","SHRUBS","SALIX",0.00183709054158649,5,0.000367418108317298
